artist,Year,location_description,title,Neighborhood,Location_1,,,,,,,
artist,created_at,location_description,title,neighborhood,,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Earth: Dancing the Grapes,,401 Van Ness Ave,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater,Water: The Fountain,,401 Van Ness Ave,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Air: The Hunters,,401 Van Ness Ave,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Northwest wall #1,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Northwest wall #2,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Southeast wall,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Southwest wall #1,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Northeast wall,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda Hospital : North Residence  : L3 : East Wall,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Southwest wall #2,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : East wall,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : North Residence : L3 : Northeast wall,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : North Residence : L3 : Northwest wall #1,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : North Residence : L3 : Southwest wall #2,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : North Residence : L3 : Northwest wall #2,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : North Residence  : L3 : Southeast wall,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : North Residence : L3 : Southwest wall #1,Untitled [light boxes and glass panels],,,,,,,,,
"Brown, Arthur Page",1969,"Public Display : District 1 : GGP, Lloyd Lake",Portals of the Past,,,,,,,,,
"Brown, Joan",1986,"Public Display : District 6 : Performing Arts Garage facade, Grove and Franklin",The Dancing Musicians,Civic Center,"Performing Arts Parking Garage, 360 Grove",,,,,,,
"Brown, Joan",1969,Airport : Terminal 2 : Gate 51A,The Journey #2,,,,,,,,,
"Bufano, Beniamino",1930,Public Display : District 6 : Valencia Gardens,Bear and Cubs,,,,,,,,,
"Bufano, Beniamino",1970,Public Display : District 3 : St. Mary's Square,Sun Yat-Sen,,,,,,,,,
"Bufano, Beniamino",1930,Public Display : District 6 : Valencia Gardens,Rabbit,,,,,,,,,
"Bufano, Beniamino",1935-1940,Public Display : District 6 : Valencia Gardens,Mouse,,,,,,,,,
"Bufano, Beniamino",1930,Public Display : District 6 : Valencia Gardens,Small Fish--Big Fish,,,,,,,,,
"Bufano, Beniamino",1969,Public Display : District 8 : CCSF : Ocean Campus : Stairs to Science Building,St. Francis of the Guns,,,,,,,,,
"Bufano, Beniamino",,City Department : Eureka Valley Library,Torso,,,,,,,,,
"Bufano, Beniamino",1969,Public Display : District 7 : 800 Brotherhood Way,Peace,,,,,,,,,
"Bufano, Beniamino",1930s,Public Display : District 3 : Maritime Museum,Frog,,,,,,,,,
"Bufano, Beniamino",1930s,Public Display : District 6 : Valencia Gardens,Two Sea Lions,,,,,,,,,
"Bufano, Beniamino",1969,Public Display : District 5 : Westside Courts,Horse and Rider (St. Francis on Horseback),,,,,,,,,
"Bufano, Beniamino",1937,"Public Display : District 7 : SFSU, Main Quad",Head of St.Francis,,,,,,,,,
"Bufano, Beniamino",1969,Public Display : District 6 : Valencia Gardens,Cat,,,,,,,,,
"Bufano, Beniamino",1935-1940,Public Display : District 3 : Maritime Museum,Seal,,,,,,,,,
"Bufano, Beniamino",,City Department : SFGH,Madonna,,,,,,,,,
"Bufano, Beniamino",1969,Public Display : District 6 : Valencia Gardens,Butterfly,,,,,,,,,
"Bufano, Beniamino",1930s,Public Display : District 6 : Valencia Gardens,Cat and Mouse,,,,,,,,,
"Bufano, Beniamino",1930s,"Public Display : District 3 : Golden Gateway, Jackson and Davis",Penguins,,"Jackson St
(40.71681253676523, -77.8931246926056)",,,,,,,
"Bullock, George",1969,"Public Display : District 1 : GGP, Shakespeare Garden",William Shakespeare,,,,,,,,,
"Buster, Kendall",2011,Airport : Terminal 2 : Ticketing Lobby,Topograph,SFO,"Terminal 2, Ticketing Lobby",,,,,,,
"Butterfield, Deborah",2003,Airport : T1 : Boarding Area C,Pohina,SFO,"Terminal 1, Boarding Area C",,,,,,,
"Carey, Michael",2009,Public Display : District 7 : J.P. Murphy Clubhouse : 9th Avenue and Pacheco,Woman with Birds,Sunset,"JP Murphy Playground, 1960 9th Ave.",,,,,,,
"Carnwath, Squeak",1999,"Airport : IT : Boarding Area G, Gate 94","Fly, Flight, Fugit",SFO,"International Terminal, Gate A4",,,,,,,
"Carpenter, James",2000,Airport : IT : Lobby Skylights,Sculptural Light Reflectors,SFO,"International Terminal, Departures Lobby",,,,,,,
"Carter, Dudley C.",1969,Public Display : District 11 : CCSF : Phelan campus : Administration Building :,Goddess of the Forest,,,,,,,,,
