artist,Year,location_description,title,Neighborhood,Location_1,,,,,,,
artist,created_at,location_description,title,neighborhood,,,,,,,,
"Katano, Marc",1969,Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 1,Greeting a Totem,,,,,,,,,
"Katano, Marc",1969,Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 1,Torso,,,,,,,,,
"Kelly, Lee",1969,Public Display : District 10 : Candlestick Stadium,Gate F Sculpture,,,,,,,,,
"Kennedy, Deborah",1969,Public Display : District 8 : Sunnyside Playground,Solar Sight,,,,,,,,,
"Kim, Cheonae",1969,Public Display : District 7 : Laguna Honda Hospital : Aqua Therapy Room : North,somewhere,,,,,,,,,
"Kirkland, Larry",1987,Airport : T1 : Boarding Area B,Flight Patterns,SFO,Terminal 1 : Boarding Area B,,,,,,,
"Kitundu, Walter",2011,Airport : Terminal 2 : Between Gates 54A and 54B,San Francisco Bay Area Bird Encounters,SFO,Terminal 2 : Between Gates 54A and 54B,,,,,,,
"Klotz, Werner",2004,Airport : IT : Departures,Anemone,SFO,International Terminal : Departures,,,,,,,
"Kogure, Kimiko",1969,Public Display : District 7 : Miraloma Field House : Omar and Sequoia Streets :,Miraloma Fieldhouse Bathrooms,,"Miraloma Field House : Omar
",,,,,,,
"Kogure, Kimiko",1969,"Public Display : District 4 : Stern Grove, Trocadero Clubhouse",Stern Grove Trocadero Clubhouse,,,,,,,,,
"Koloski, Vince",1969,"Public Display : District 10 : Mission Bay Library, 960 4th Street",A Library Book,,,,,,,,,
"Kopecek, Vera",1969,Airport : South Terminal : Boarding Area A,Flight Thrills,,,,,,,,,
"Kozloff, Joyce",1969,Airport : IT : South Pedestrian Bridge,"Bay Area Victorian, Bay Area Deco, Bay Area Funk",,,,,,,,,
"Kricken, John and Rolph",1969,"Public Display : District 1 : GGP, JFK at Great Highway",Amundsen Historical Plaque,,,,,,,,,
"Kunishima, Seiji",1983,Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 1,Stacking Stones,SFO,Terminal 2 : Ticketing Lobby : Connector to Terminal 1,,,,,,,
"Labaudt, Lucien",1969,"Public Display : District 1 : GGP, Beach Chalet",People and Places of San Francisco,,,,,,,,,
"Labaudt, Lucien",1969,"Public Display : District 1 : Washington High School, Library",Advancement of Learning through the Printing Press,,,,,,,,,
"Labaudt, Lucien",1969,Public Display : District 3 : Coit Tower,Powell Street,,,,,,,,,
"Lands, Christine Marie",1984,"Public Display : District 1 : Presidio Library, reading room",Before the Revolution,,,,,,,,,
"Lane, Christopher",1969,Airport : T3 : Mezzanine,Night Passage,,,,,,,,,
"Langdon, Gordon",1969,Public Display : District 3 : Coit Tower,California Agricultural Industry,,,,,,,,,
"Leong, James",1969,"Public Display : District 3 : Chinese Cultrural Center, 750 Kearney",100 Years of Progress of Chinese in America,,,,,,,,,
"Leong, Lampo",1969,Public Display : District 3 : Woh Hei Yuen Park : Powell St. Between Jackson and,Tectonic Melange,,,,,,,,,
"Lerner, Leslie",1969,Airport : T1 : Delta Connector,The Smile of Reason,,,,,,,,,
"Lieb, Reddy and Raynsford, Linda",1969,Public Display : District 8 : Glen Park branch Library : 2825 Diamond St.,Six Degrees,,2825 Diamond St,,,,,,,
"Lin, Maya",2009-2010,Museum : California Academy of Science,What's Missing,,,,,,,,,
"Lin, Maya",1969,Museum : GGP : CA Academy of Sciences : West patio,Where the Land Meets the Sea,,,,,,,,,
"Liu, Hung",2006-2008,Airport : International Terminal : Gate A-5,Take Off,SFO,International Terminal : Gate A-5,,,,,,,
"Liu, Hung",1992,"Public Display : District 6 : Moscone Center, Esplanade",Map No. 33,SoMa,"Moscone Center, Esplanade, Howard & 3rd St.",,,,,,,
Living Lenses (Po Shu Wang & Loui,2004-2010,City Department : Laguna Honda Hospital : Courtyard J,NEVERODDOREVEN,,,,,,,,,
"Loarca, Carlos",1978,Airport : T3 : Boarding Area E,Angulos en Todas Direciones,,,,,,,,,
"Loarca, Carlos",1969,City Department : SFGH : 3rd floor courtyard,Connecting Mural Bands,,,,,,,,,
"Loarca, Carlos",1969,Airport : T3 : Boarding Area E,Angulos en Todas Direciones,SFO,Terminal 3 : Boarding Area E,,,,,,,
"Ludwig, Helen",1969,"City Department : SFGH, Building 10, Ward 13",Untitled,,,,,,,,,
"Ludwig, Helen",1989,City Department : DPW : Recreation Center for the Handicapped : 101 Grove,One Step at a Time,Civic Center,"Department of Public Health, 101 Grove",,,,,,,
"MacDonald, Robert",1969,Public Display : District 6 : City Hall,Willie L Brown Bust,,,,,,,,,
Mandel and Sultan,1969,Airport : IT : Boarding Area A : Gate A7,Waiting,,,,,,,,,
"Mangrum, Joe",2002,Public Display : District 9 : Mission and 22nd St. : NE and SW Corners,Layla,Mission,Mission and 22nd St. : NE and SW Corners,,,,,,,
"Mangrum, Joe",2002,Public Display : District 9 : Mission and 22nd St. : NE and SW Corners,Swing Daddy,Mission,Mission and 22nd St. : NE and SW Corners,,,,,,,
"Manwaring, Michael",1996,Public Display : District 3 : Embarcadero,Historic Signage Project,Embarcadero,Embarcadero between Bay and King Streets,,,,,,,
"Margrill, Anita and Nagasawa, Nobuho",2007-2008,Public Display : District 10 : Metro East Vehicles Operation and Maintenance Fac,Blueprints,,,,,,,,,
"Marie-Rose, Henri",1969-1970,City Department : DPW : Health Center : Irving and 24th Ave.,Sailor and Mermaid,,"DPW : Health Center : Irving
",,,,,,,
"Marie-Rose, Henri",1969,City Department : Firehouse #13,Untitled,,,,,,,,,
"Marini, Marino",ca. 1966,Public Display : District 3 : Golden Gateway Plaza,Bronze Horse,,,,,,,,,
Mark/Charlie Evans/Brown,1969,"City Department : SFPL, Main Branch",Into the Light,Civic Center,"SF Public Library, Main : 100 Larkin",,,,,,,
"Marsh, Thomas",1969,"Public Display : District 3 : Portsmouth Square, upper level",Goddess of Democracy,,,,,,,,,
"Martin, Fran",1985,Airport : T2 : Boarding Area C : Gate 44,Petanque et St-Savin IV,SFO,Terminal 2 : Boarding Area C : Gate 44,,,,,,,
"Martin, Fran",1969,City Department : DPW/PUC : Griffith Pump Station : 1601 Griffith St.,Ndebele,,1601 Griffith St,,,,,,,
"Martin, Vance",1969,Airport : Terminal 2 : North Arrivals Lounge,Untitled,SFO,Terminal 2 : North Arrivals Lounge,,,,,,,
"Martinez, Julian",1969,"Public Display : District 7 : Sunset Circle parking Lot, Sunset and Lake Merced",Juan Bautista de Anza,,,,,,,,,
"McDonnell, Mark",1969,Public Display : District 7 : Fire Station #39 : North Facade,Glass Rondella,,,,,,,,,
"McDonnell, Mark",1969,City Department : Firestation #39 : 1091 Portola,Glass Rondella,,,,,,,,,
"McQuarrie, J.",ca. 1927,"Public Display : District 1 : GGP, south side of JFK",Father William D. McKinnon ( -1902),,,,,,,,,
METAL,1969,Public Display : District 6 : Stuart Street,International Longshoremen's & Warehousemen's Union Memorial (ILWU),,,,,,,,,
"Montoya, Emmanuel C.",1969,Public Display : District 9 : Mission Library,"Deities of Knowledge, Culture and Literature",,,,,,,,,
"Moore, Henry",?,Public Display : District 3 : Golden Gateway Plaza,Standing Figure Knife Edged- Winged Figure,,,,,,,,,
"Moore, Henry",1969,"Public Display : District 6 : Civic Center, Grove and Van Ness",Large Four Piece Reclining Figure,,,,,,,,,
"Mora, Joseph Jacinto",1969,"Public Display : District 1 : GGP, Music Concourse",Miguel Cervantes (1547-1616),,,,,,,,,
"Moxom, Jack",1969,Public Display : District 1 : GGP : Children's Playground : west of carousel,Sarah B. Cooper Memorial,,,,,,,,,
"Moya Del Pino, Jose",1969,Public Display : District 5 : African American Art and Culture Complex : Fulton,Murals for Acme Beer Company,,"African American Art
",,,,,,,
"Moya Del Pino, Jose",1969,Public Display : District 3 : Coit Tower,"San Francisco Bay, North",,,,,,,,,
"Mullican, Lee",1969,Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 3,The Great Transparents,,,,,,,,,
"Murrill, Gwyn",1969,"Public Display : District 4 : SF Zoo, main entrance",Tiger II,,,,,,,,,
"Murrill, Gwyn",1996-2002,"Public Display : District 4 : SF Zoo, main entrance",Cougar III,,,,,,,,,
"Murrill, Gwynn",1969,Public Display : District 7 : Zoo : Animal Resource Center,Hawk V,,,,,,,,,
"Neri, Manuel",1969,Public Display : District 6 : Moscone Center,Untitled Proposal,,,,,,,,,
"Neri, Manuel",1969,Airport : T1 : Boarding Area C : Gate 46,Mujer Pagada No.4,,,,,,,,,
"Newman, Ruby",1969,City Department : SFGH,Children's Mural,,,,,,,,,
"Noguchi, Isamu",1969,Airport : T1 : Boarding Area C : Gate 45,Figure,,,,,,,,,
"Novak, Stephen",1978,"Public Display : District 10 : 22nd St., between Indiana and Minnesota",Untitled,,,,,,,,,
"O'banion, Nance",1969,Airport : T3 : Gate 81,Billboard Series: Exploded Transverse with no Nuggies,,,,,,,,,
"O'Day, Ruth",1969,"Public Display : District 6 : Tenderloin Children's Playground, Turk and Hyde",Guardian Serpent,,,,,,,,,
"Olaguibel, Juan",1969,Public Display : District 8 : Dolores Park : Church St. at 19th St.,Miguel Hidalgo Y Costilla,,"Dolores Park : Church St
",,,,,,,
"Oldfield, Otis",1969,Public Display : District 3 : Coit Tower,San Francisco Bay,,,,,,,,,
"Oldfield, Otis",1969,Public Display : District 3 : Coit Tower,Seabirds and Bay Area Map,,,,,,,,,
"Olmsted, Frederick Law",1969,Public Display : District 8 : CCSF : Ocean Campus,Leonardo da Vinci,,,,,,,,,
"Olmsted, Frederick Law Jr.",1969,Public Display : District 8 : CCSF : Ocean Campus : Science Building Esplanade,Edison,,,,,,,,,
"Olmsted, Jr., Frederick Law",1969,Public Display : District 3 : Coit Tower,Power,,,,,,,,,
"Olmsted, Jr., Frederick Law",1969,Public Display : District 8 : CCSF : Ocean Campus : Science Building : Lobby,Education (Theory and Science),,,,,,,,,
"Oropallo, Deborah",2004-2005,Public Display : District 6 : City Hall,Love + Marriage,,,,,,,,,
"Overhoff, Jacques",1969,City Department : Dept. Social Services : 170 Otis. St. : Building Facade,Untitled,,,,,,,,,
"Overhoff, Jacques",1969,City Department : SFPL : Bayview Branch : Exterior,Untitled,,1601 Lane St,,,,,,,
"Overhoff, Jacques",1969,"Public Display : District 11 : CCSF, Phelan Campus",Sculpture Garden,,,,,,,,,
"Ozan, Pepe",1969,Public Display : District 9 : Adjacent to C. Chavez bicycle overpass,Invocation,,,,,,,,,
"Paitigan, Haig",1969,Public Display : District 6 : City Hall,Edward Robeson Taylor (1838-1923),,,,,,,,,
"Paley, Albert",1998,"Public Display : District 6 : Civic Center Courthouse, 400 McAllister",Courthouse Entry Doors,Civic Center,"Civic Center Courthouse: Courthouse Entry, 400 McAllister",,,,,,,
"Parhad, Fred",1969,Public Display : District 6 : Fulton St. between Polk and Larkin,Ashurbanipal,,,,,,,,,
"Patigian, Haig",1969,Public Display : District 3 : Market and Kearny,Luisa Tetrazzini (1874-1940) Plaque,,,,,,,,,
"Patigian, Haig",1969,Public Display : District 3 : Washington Square Park,Volunteer Fireman Memorial,,,,,,,,,
"Patigian, Haig",1969,Public Display : District 1 : Lincoln Park,Raphael Weill (1837-1920) Plaque,,,,,,,,,
"Patigian, Haig",1969,"Public Display : District 6 : City Hall, 1st Floor",James D. Phelan (1861-1930),,,,,,,,,
"Patigian, Haig",1969,Public Display : District 1 : GGP : Music Concourse,General John J. Pershing (1860-1948),,,,,,,,,
"Patigian, Haig",1969,Public Display : District 2 : Marina Green,William C. Ralston (1826-1875) Monument,,,,,,,,,
"Patigian, Haig",1969,"Public Display : District 6 : Outside City Hall, Polk St.",Abraham Lincoln (1809-1865),,,,,,,,,
"Patigian, Haig",1969,"Public Display : District 6 : City Hall, 1st Floor","James Rolph, Jr. (1869-1934)",,,,,,,,,
"Patigian, Haig",1969,"Public Display : District 6 : City Hall, east lobby",Frederick Funston (1865-1917),,,,,,,,,
"Patlan, Eduardo and Pineda, Ray",2000,"Public Display : District 10 : Jose Coronado Playground, Folsom and 21st St.",Raizes/Roots,Mission,"Jose Coronado Playground, Folsom and 21st St.",,,,,,,
"Paunov, Zlatko",1969,Public Display : District 3 : Ferry Plaza,Mohandas K. Gandhi,,,,,,,,,
"Perry, Charles O.",?,Public Display : District 3 : Golden Gateway Plaza,Bronze Icosahedron,,,,,,,,,
"Perry, R. Hinton",1969,Public Display : District 1 : GGP : Music Concourse,Lion,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Land,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Sea,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1932,Museum : deYoung Museum,Night,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1932,de Young Museum,The Mountains,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Land,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1932,de Young Museum,The Forests,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Sea,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Sea,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Sea,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Land,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Sea,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Land,,,,,,,,,
"Piazzoni, Gottardo Fidele Ponziano",1969,de Young Museum,The Land,,,,,,,,,
"Pijoan, Irene",2007,"Public Display : District 6 : Victoria Manalo Park, SOMA",Untitled,SoMa,"Victoria Manalo Draves Park, 1025 Folsom Street at Sherman",,,,,,,
Po Shu Wang,1969,Public Display : District 10 : 788 Wisconsin St.,Scaling Harmonics,,788 Wisconsin St,,,,,,,
Po Shu Wang,1969,Public Display : District 5 : Octavia Blvd. between Market Street and Hayes Gree,Ghinlon/Transcope,,,,,,,,,
"Poethig, Johanna",1969,Public Display : District 6 : Tenderloin Tenderloin Children's Recreation Center,Epic; Prediction; Gameboard; and H20,,,,,,,,,
"Poethig, Johanna",1969,Public Display : District 6 : Tenderloin Rec. Center : Jones and Eddy,Flying Dragon-Snake-Monkey-Bird,,,,,,,,,
"Polk, James",1969,Public Display : District 6 : Hoff Street Garage,Untitled,,,,,,,,,
"Pomodoro, Arnaldo",1969,Airport : Terminal 2 : Stairway from Arrivals to Departures,Cilindro Costruito,,,,,,,,,
"Porter, Bruce",1969,Public Display : District 3 : Portsmouth Square : NW Corner,Robert Louis Stevenson (1850-1894) Memorial,,,,,,,,,
"Potts, Don",1969,Public Display : District 6 : City Hall : South Light Court,Hallidie Building,,,,,,,,,
"Potts, Don",1969,Public Display : District 6 : City Hall : South Light Court,Pylon of the Golden Gate Bridge,,,,,,,,,
"Potts, Don",1969,Public Display : District 6 : City Hall : South Light Court,City Hall Dome,,,,,,,,,
"Potts, Don",1969,Public Display : District 6 : City Hall : South Light Court,"San Francisco Victorian, Italianate Style",,,,,,,,,
"Powell, Eric",1969,Public Display : District 7 : Ingleside Branch Library : Ocean Avenue at Plymout,Ocean Current,,,,,,,,,
Precitia Eyes muralists,1969,Public Display : District 6 : 150 Otis Street,The Flower Inside Us Grows,,,,,,,,,
"Preston, Anne",1969,Airport : IT : Concourse A : Arrivals Corridor,You Were in Heaven,,,,,,,,,
"Preston, Anne",1969,Public Display : District 6 : Civic Center : Courthouse,Family Court Waiting Area,,,,,,,,,
"Puccienlli, Raymond",1969,Public Display : District 3 : Telegraph Hill : Lombard Street,Guglielmo Marconi (1874-1937) Memorial Plaque,,,,,,,,,
"Puccinelli, Raimondo(Raymond)",1969,"City Department : SFGH, Cafeteria patio",American Bison--Buffalo,,,,,,,,,
"Putnam, Arthur",1969,"Public Display : District 1 : GGP, Music Concourse",Sphinx,,,,,,,,,
"Putnam, Arthur",1969,Public Display : District 6 : Market Street,The Winning of the West,,,,,,,,,
"Qizhan, Zhu",1969,Museum : Asian Art Museum,Grapevine,,,,,,,,,
"Quagliata, Narcissus",1973,City Department : Bayview Health Center,Untitled,,,,,,,,,
"Quagliata, Narcissus",1993,City Department : DPT : Mission Parking Garage,Oracle,SoMa,"Fifth and Mission Parking Garage, 833 Mission St",,,,,,,
"Quagliata, Narcissus",33m 10s,Public Display : District 3 : North Shore Pump Station : Embarcadero & Kearny St,Untitled,Embarcadero,North Shore Pump Station : Embarcadero & Kearny St,,,,,,,
"Quilici, Gladys Nevada",1969,Public Display : District 3 : Columbus Avenue at Union and Powell,Frank Marini (1862-1952),,,,,,,,,
"Ramirez, Robert",1969,Airport : Terminal 2 : Gate 58A,Urns,,,,,,,,,
Rebar Group,1969,Public Display : Leland Ave. and Bayshore Blvd.,Street Life,,"Leland Ave
",,,,,,,
"Reed, Michael John",1969,Public Display : District 6 : City Hall,Mayor George Christopher,,,,,,,,,
"Reid, Robert",1969,Public Display : District 2 : Palace of Fine Arts,The Golden Fruit,,,,,,,,,
"Reid, Robert",1969,Public Display : District 2 : Palace of Fine Arts,Ideals in Art,,,,,,,,,
"Reid, Robert",1969,Public Display : Palace of Fine Arts,The Golden Grain,,,,,,,,,
"Reid, Robert",1969,Public Display : District 2 : Palace of Fine Arts,The Birth of European Art,,,,,,,,,
"Reid, Robert",1969,Public Display : District 2 : Palace of Fine Arts,The Golden Metal,,,,,,,,,
"Reid, Robert",1969,Public Display : District 2 : Palace of Fine Arts,The Golden Poppy,,,,,,,,,
"Reid, Robert",1969,Public Display : District 2 : Palace fo Fine Arts,Oriental Art,,,,,,,,,
"Reinerston, Lisa",1970,Public Display : District 6 : City Hall,Bust of Dianne Feinstein,,,,,,,,,
"Reinertson, Lisa",1970,Public Display : District 6 : City Hall,John F. Shelley,,,,,,,,,
"Reitschel, Ernst",ca. 1901,"Public Display : District 1 : GGP, Music Concourse",Goethe and Schiller,,,,,,,,,
"Renfrow, Gregg",1969,Storage : Airport,Untitled,,,,,,,,,
"Richards, Peter",1969,"City Department : SFGH, Garden of Building 80","Companion Place, a Complement to the Comfort Garden",,,,,,,,,
"Richards, Peter and Schwartzenberg, Susan",1969,Public Display : District 10 : McLaren Park,Philosopher's Walk,,,,,,,,,
"Rickey, George Warren",1982,"Public Display : District 6 : Outside Main Library, Larkin St.",Double L Eccentric Gyratory,Civic Center,"San Francisco Main Library, 100 Larkin St.",,,,,,,
rigo 99,1969,Airport : IT : Boarding Area G,Thinking of Balmy Alley,SFO,International Terminal : Boarding Area G,,,,,,,
"Riley, Cheryl",1969,City Department : 911 Emergency Services Center : 1011 Turk St. : Exterior,Angels of Mercy,,,,,,,,,
"Riley, Cheryl",1969,City Department : Bayview Police Station : 345 Williams,On Target Podium,,,,,,,,,
"Riley, Cheryl",1969,City Department : Bayview Police Station : 345 Williams Ave.,Indian Spoon Sconces,,345 Williams Ave,,,,,,,
"Riley, Cheryl",1991-97,City Department : Bayview Police Station : 345 Williams,Maasai Warrior Shield Light Sconces,,,,,,,,,
"Riley, Cheryl",1969,City Department : Bayview Police Station : 345 Williams Ave.,Indian Spoon Sconces,,345 Williams Ave,,,,,,,
"Riley, Cheryl",1991-97,City Department : Bayview Police Station : 345 Williams Ave. : Entrance Lobby,Akamba Inlay Floor,,,,,,,,,
"Riley, Cheryl",1991-97,City Department : Bayview Police Station : 345 Williams,Granary Bobo Bench,,,,,,,,,
"Rios, Michael",1969,City Department : SFGH : 4th Floor Terace,Untitled,,,,,,,,,
"Rivera, Diego",1969,"Public Display : District 11 : CCSF, Phelan Campus,",Marriage of the Artistic Expression of the North and South of this Continent,,,,,,,,,
"Rivera, Gustavo",1969,Airport : T3 : Boarding Area E : Gate 61,"Azul, Azul Y Hacer",SFO,T3 : Boarding Area E : Gate 61,,,,,,,
"Rivera, Gustavo",1981,Public Display : District 6 : Moscone Center : South,Untitled,SoMa,"Moscone Center, Howard between 3rd & 4th St.",,,,,,,
"Roberts, Kent",1969,Public Display : District 2 : Moscone Recreation Center,Passage,,,,,,,,,
"Rodin, Auguste",1880-1903,"Public Display : District 1 : Legion of Honor, north lawn",The Three Shades,,,,,,,,,
"Rodin, Auguste",,Public Display : District 1 : Legion of Honor Courtyard,The Thinker,,,,,,,,,
"Rodriguez, Isis",1969,Public Display : District 9 : Rolph Playground : Exterior entryway gate,Untitled [Rolph Playground],,,,,,,,,
"Rodriguez, Isis",2003,"Public Display : District 9 : Parque Ninos Unidos, 23rd and Treat",Los Ninos del Sol,Mission,"Parque Ninos Unidos, 23rd and Treat",,,,,,,
"Rodriguez, Isis",2008,Public Display : District 10 : Potrero Del Sol Park : Exterior entryway gate,Untitled [Potrero Del Sol Park],Mission,Potrero Del Sol Park : Exterior entryway gate,,,,,,,
"Rojas, Clare",2010,Airport : International Terminal : Boarding Area G,Blue Deer,SFO,International Terminal : Boarding Area G,,,,,,,
"Ross, Charles",1969,Airport : T1 : Boarding Area B,Light Lines,SFO,T1 : Boarding Area B,,,,,,,
"Runyon, Hal Bayard",1969,Public Display : District 3 : Foot of Market at Embarcadero,Andrew Furuseth (1854-1938),Embarcadero,Foot of Market at Embarcadero,,,,,,,
"Saltos, Elizabeth",1969,"City Department : Fire Station #44, 1298 Girard Ave.",Diagonal Relief,,1298 Girard Ave,,,,,,,
"Sarantitis, Joshua",1969,Public Display : District 10 : Jackson Playground : Arkansas St. and Mariposa,The Child Sees: Big Snail Fish,,,,,,,,,
"Sato, Norie",,Airport : Terminal 2 : North and South Façade,Air Over Under ,,,,,,,,,
"Saulls, Vicki",1969,Public Display : District 3 : North Beach Pool,Locus,,,,,,,,,
"Saulls, Vicki",1969,Public Display : District 3 : North Beach Pool,Nuotatori,,,,,,,,,
"Saulls, Vicki Ann",1969,Public Display : District 8 : Eureka Valley Recreation Center,Welcome Hands,,,,,,,,,
"Saulls, Vicki Ann",1969,Public Display : District 8 : Eureka Valley Recreation Center,From the Heart Outwards,,,,,,,,,
"Saulls, Vicky",1969,Public Display : District 1 : Golden Gate Park : Koret Children's Quarters,Untitled [group of animals],,,,,,,,,
"Saunders, Raymond",1969,Airport : T3 : Gate 83-85,Letter's Missing,,,,,,,,,
"Scheuer, Suzanne",1969,Public Display : District 3 : Coit Tower,Newsgathering,,,,,,,,,
"Schmid, Rupert",ca. 1908,Public Display : District 1 : GGP : Music Concourse,General Ulysses Simpson Grant (1822-1885),,,,,,,,,
"Schnier, Jacques",1969,Public Display : District 3 : 444 Bush St.,California Theater Plaque,,444 Bush St,,,,,,,
"Schweigardt, Frederick W.",1969,Public Display : District 2 : Golden Gate Bridge : Toll Crossing,Joseph B. Strauss (1870-1938) Memorial,,,,,,,,,
"Scuri, Vicki",1969,City Department : Sheriff's Facility : 7th St. and Bryant : Sidewalk,Sheriff Star Plaza,,,,,,,,,
"Segal, George",1969,Public Display : District 1 : Lincoln Park : Land's End,The Holocaust,,,,,,,,,
"Selinger, Paul",1969,Public Display : District 2 : Broderick and Bush Mini Park,Untitled,,,,,,,,,
"Sells, Raymond",1969,"Public Display : District 6 : 850 Bryant, Main entrance",Untitled (Planter),,,,,,,,,
"Sells, Raymond",1969,"Public Display : District 6 : 850 Bryant, main entrance",Untitled (Planter),,,,,,,,,
"Serlin, Merle Axelrad",1969,City Department : Laguna Honda Hospital : Link Building : L1,Bay Area Foothills,,,,,,,,,
"Serlin, Merle Axelrad",1969,City Department : Laguna Honda Hospital : Link Building : L1,Cliffs at Land's End,,,,,,,,,
"Serlin, Merle Axelrad",1969,City Department : Laguna Honda Hospital : Link Building : L1,Marin Headlands,,,,,,,,,
"Shaw, Richard",1969,Airport : Terminal 1 C,Martha H.,,,,,,,,,
"Shields-Clarke, Thomas",1969,"Public Display : District 1 : GGP, Music Concourse",The Cider Press,,,,,,,,,
"Shively, Evan",1969,City Department : SFGH : MHRF,Untitled,,,,,,,,,
"Shuler, Dustin",1985,City Department : DPT : Moscone Parking Garage : Facade,Spider Pelt,SoMa,Moscone Parking Garage : Facade: Third Street between Howard and Folsom,,,,,,,
"Shum, Hilda",1969,"City Department : SFGFH, Skilled Mental Health Nursing Facility",Fish Tale,,,,,,,,,
"Shunkai, Bundo",1983,Public Display : District 1 : Land's End,Peace Monument,,,,,,,,,
"Slusky, Joseph",1969,City Department : PUC : San Andreas Water Facility : Millbrae,Calypso,,,,,,,,,
"Smith, Anthony",1969,"Public Display : District 6 : Father Boeddekker Park, Jones and Eddy",Untitled,,,,,,,,,
"Smith, Hassel",1969,Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 3,Metamorphosis,,,,,,,,,
"Smith, Owen",1969,See Cover Record,Building the Iron Horse,,,,,,,,,
"Smith, Owen",1969,See Cover Record,Building the Iron Horse,,,,,,,,,
"Smith, Owen",1969,See Cover Record,Building the Iron Horse,,,,,,,,,
"Smith, Owen",1969,See Cover Record,Building the Iron Horse,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : Link Building : Entrance Lobby : Cente,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : North Residence Building : L5 : East W,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : North Residence Building : L5 : Northe,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : South Residence Building : L5 : Southw,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : South Residence Building : L5 : Northw,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital,Untitled [mosaics],,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : South Residence Building : L5 : Northe,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : Link Building : Entrance Lobby : Right,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : South Residence Building : L5 : East W,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : Link Building : Entrance Lobby : Left,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : North Residence Building : L5 : Northw,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : North Residence Building : L5 : Southw,,,,,,,,,,
"Smith, Owen",1969,City Department : Laguna Honda Hospital : Lobby,Untitled [Sculpture Reliefs],,,,,,,,,
"Snyder, Dan",1969,"Airport : Terminal 2 : Arrivals, Rear Wall","Welcome North, Welcome South, Welcome East, Welcome West",,,,,,,,,
"Sonnier, Keith",1969,Airport : IT : Boarding Area G : Arrivals corridor,Ceiling Flood,,,,,,,,,
"Sowers, Charles",1969,Airport : Terminal 2 : Between Gates 58A and 58B : Children's Play Area,Butterfly Wall,SFO,Terminal 2 : Between Gates 58A and 58B : Children's Play Area,,,,,,,
"Sproat, Christopher Townsend",1969,City Department : DPT : Ellis and O'Farrell Parking Garage,Spine,,,,,,,,,
"Stackpole, Ralph",1969,"Public Display : District 6 : City Hall : Elevator Lobby, 4th Floor",James M. Seawell (1836-1917),,,,,,,,,
"Stackpole, Ralph",1969,Public Display : District 3 : Coit Tower,Industries of California,,,,,,,,,
"Stackpole, Ralph",1969,City Department : City Recorder,Edmund Godchaux (1849-1939),,,,,,,,,
"Stackpole, Ralph",1969,Public Display : District 1 : Washington High School : Librar y,Contemporary Education,,,,,,,,,
"Stellon, Anthony",1969,Franklin Square : Storage Yard,The Brotherhood of Man,,,,,,,,,
"Stern, Jan Peter",?,Public Display : District 3 : Maritime Plaza,Limits of Horizon II,,,,,,,,,
"Story, William Wetmore",1969,"Public Display : District 1 : GGP, Music Concourse",Francis Scott Key (1780-1843),,,,,,,,,
"Stutz, Michael",1969,Airport : T1 : Boarding Area C : Gate 43,Cardboard Kore,,,,,,,,,
"Tamayo, Rufino",1969,Airport : Storage,"Conquest of Space, 1983",,,,,,,,,
